id SMILES S0S1 S0T1 T1S1 OS
152 N#CC1=CC2=CC=NC3=NC=CC(=C1)N23 1.366863 1.445632 -0.078769 0.006234
153 N#CC1=CC2=CC=CC3=CC=NC(=N1)N23 1.449046 1.555462 -0.106416 0.002377
154 N#CC1=CC=C2C=CN=C3N=CC=C1N23 1.594927 1.744732 -0.149805 0.00499
155 N#CC1=CN=C2N=CC=C3C=CC=C1N23 1.650613 1.800434 -0.149821 0.000528
156 CN(C)C1=CC2=CC=NC3=NC=CC(=C1)N23 1.88485 2.056214 -0.171364 0.000292
157 CN(C)C1=CC2=CC=CC3=CC=NC(=N1)N23 1.886997 1.952595 -0.065598 0.016735
158 CN(C)C1=CC=C2C=CN=C3N=CC=C1N23 1.482487 1.596908 -0.114421 0.004265
159 CN(C)C1=CN=C2N=CC=C3C=CC=C1N23 1.475047 1.596678 -0.121631 0.002254
160 CC1=CC2=CC=NC3=NC=NC(=C1)N23 1.90304 2.043615 -0.140575 0.003283
161 CC1=NC2=NC=NC3=CC=CC(=C1)N23 1.916776 2.043854 -0.127078 0.00683
162 CC1=NC2=CC=CC3=CC=NC(=N1)N23 1.898276 2.023471 -0.125195 0.004787
163 CC1=CC=C2N=CN=C3N=CC=C1N23 1.827283 1.953825 -0.126542 0.004217
164 CC1=CC=C2C=CN=C3N=CN=C1N23 1.893715 1.990036 -0.096321 0.004218
165 CC1=CN=C2N=CN=C3C=CC=C1N23 1.889358 1.989054 -0.099696 0.004779
166 NC1=CC2=CC=NC3=NC=NC(=C1)N23 2.177311 2.329036 -0.151725 0.000651
167 NC1=NC2=NC=NC3=CC=CC(=C1)N23 2.135117 2.22141 -0.086293 0.016788
168 NC1=NC2=CC=CC3=CC=NC(=N1)N23 2.200547 2.225326 -0.024779 0.023496
169 NC1=CC=C2N=CN=C3N=CC=C1N23 1.672478 1.738826 -0.066348 0.007726
170 NC1=CC=C2C=CN=C3N=CN=C1N23 1.790721 1.749767 0.040954 0.008999
171 NC1=CN=C2N=CN=C3C=CC=C1N23 1.809667 1.832669 -0.023002 0.006401
172 CNC1=CC2=CC=NC3=NC=NC(=C1)N23 2.226528 2.362439 -0.135911 0.000701
173 CNC1=NC2=NC=NC3=CC=CC(=C1)N23 2.144885 2.214385 -0.0695 0.0189
174 CNC1=NC2=CC=CC3=CC=NC(=N1)N23 2.233835 2.239249 -0.005414 0.025277
175 CNC1=CC=C2N=CN=C3N=CC=C1N23 1.658449 1.710497 -0.052048 0.008035
