SMILES EXCINT
N#CC1=NC2=NC=NC3=CC=CC(=C1)N23 0.010643
N#CC1=NC2=CC=CC3=CC=NC(=N1)N23 0.007369
N#CC1=CC=C2N=CN=C3N=CC=C1N23 0.007366
N#CC1=CC=C2C=CN=C3N=CN=C1N23 0.008793
N#CC1=CN=C2N=CN=C3C=CC=C1N23 0.006915
CN(C)C1=CC2=CC=NC3=NC=NC(=C1)N23 0.006562
CN(C)C1=NC2=NC=NC3=CC=CC(=C1)N23 0.012988
CN(C)C1=NC2=CC=CC3=CC=NC(=N1)N23 0.015840
CN(C)C1=CC=C2N=CN=C3N=CC=C1N23 0.010368
CN(C)C1=CC=C2C=CN=C3N=CN=C1N23 0.013133
CN(C)C1=CN=C2N=CN=C3C=CC=C1N23 0.009082
CC1=CC2=NC=NC3=NC=NC(=C1)N23 0.006488
CC1=NC2=CC=CC3=NC=NC(=N1)N23 0.007288
CC1=CC=C2N=CN=C3N=CN=C1N23 0.007935
NC1=CC2=NC=NC3=NC=NC(=C1)N23 0.006546
NC1=NC2=CC=CC3=NC=NC(=N1)N23 0.013733
NC1=CC=C2N=CN=C3N=CN=C1N23 0.013444
CNC1=CC2=NC=NC3=NC=NC(=C1)N23 0.006546
CNC1=NC2=CC=CC3=NC=NC(=N1)N23 0.014691
CNC1=CC=C2N=CN=C3N=CN=C1N23 0.014028
C=CC1=CC2=NC=NC3=NC=NC(=C1)N23 0.010436
C=CC1=NC2=CC=CC3=NC=NC(=N1)N23 0.006527
C=CC1=CC=C2N=CN=C3N=CN=C1N23 0.008104
C#CC1=CC2=NC=NC3=NC=NC(=C1)N23 0.010382
C#CC1=NC2=CC=CC3=NC=NC(=N1)N23 0.007403
C#CC1=CC=C2N=CN=C3N=CN=C1N23 0.008239
[C-]#[N+]C1=CC2=NC=NC3=NC=NC(=C1)N23 0.009971
[C-]#[N+]C1=NC2=CC=CC3=NC=NC(=N1)N23 0.007274
[C-]#[N+]C1=CC=C2N=CN=C3N=CN=C1N23 0.007958
N#CC1=CC2=NC=NC3=NC=NC(=C1)N23 0.012417
N#CC1=NC2=CC=CC3=NC=NC(=N1)N23 0.008350
N#CC1=CC=C2N=CN=C3N=CN=C1N23 0.007488
CN(C)C1=CC2=NC=NC3=NC=NC(=C1)N23 0.006344
CN(C)C1=NC2=CC=CC3=NC=NC(=N1)N23 0.015121
CN(C)C1=CC=C2N=CN=C3N=CN=C1N23 0.012983
CC1=NC2=NC=NC3=NC=CC(=C1)N23 0.007555
CC1=NC2=NC=CC3=CC=NC(=N1)N23 0.008674
CC1=CN=C2N=CN=C3N=CC=C1N23 0.008759
NC1=NC2=NC=NC3=NC=CC(=C1)N23 0.009613
NC1=NC2=NC=CC3=CC=NC(=N1)N23 0.016075
NC1=CN=C2N=CN=C3N=CC=C1N23 0.013882
CNC1=NC2=NC=NC3=NC=CC(=C1)N23 0.010426
CNC1=NC2=NC=CC3=CC=NC(=N1)N23 0.016969
CNC1=CN=C2N=CN=C3N=CC=C1N23 0.011610
C=CC1=NC2=NC=NC3=NC=CC(=C1)N23 0.010577
C=CC1=NC2=NC=CC3=CC=NC(=N1)N23 0.005996
C=CC1=CN=C2N=CN=C3N=CC=C1N23 0.008411
C#CC1=NC2=NC=NC3=NC=CC(=C1)N23 0.010339
C#CC1=NC2=NC=CC3=CC=NC(=N1)N23 0.006233
C#CC1=CN=C2N=CN=C3N=CC=C1N23 0.008235
[C-]#[N+]C1=NC2=NC=NC3=NC=CC(=C1)N23 0.009761
[C-]#[N+]C1=NC2=NC=CC3=CC=NC(=N1)N23 0.006533
[C-]#[N+]C1=CN=C2N=CN=C3N=CC=C1N23 0.008024
N#CC1=NC2=NC=NC3=NC=CC(=C1)N23 0.011727
N#CC1=NC2=NC=CC3=CC=NC(=N1)N23 0.006820
N#CC1=CN=C2N=CN=C3N=CC=C1N23 0.007124
CN(C)C1=NC2=NC=NC3=NC=CC(=C1)N23 0.010591
CN(C)C1=NC2=NC=CC3=CC=NC(=N1)N23 0.017271
CN(C)C1=CN=C2N=CN=C3N=CC=C1N23 0.011029
