SMILES S0S1 S0T1 T1S1 OS
N#CC1=NC2=CC=CC3=CC=NC(=N1)N23 1.770347 1.884723 -0.114376 0.001962
N#CC1=CC=C2N=CN=C3N=CC=C1N23 1.902344 2.042587 -0.140243 0.004702
N#CC1=CC=C2C=CN=C3N=CN=C1N23 1.848964 1.982780 -0.133816 0.010370
N#CC1=CN=C2N=CN=C3C=CC=C1N23 1.894139 2.052798 -0.158659 0.000542
CN(C)C1=CC2=CC=NC3=NC=NC(=C1)N23 2.195885 2.338566 -0.142681 0.000822
CN(C)C1=NC2=NC=NC3=CC=CC(=C1)N23 2.145184 2.222403 -0.077219 0.023229
CN(C)C1=NC2=CC=CC3=CC=NC(=N1)N23 2.220383 2.238172 -0.017789 0.024250
CN(C)C1=CC=C2N=CN=C3N=CC=C1N23 1.752293 1.854537 -0.102244 0.006120
CN(C)C1=CC=C2C=CN=C3N=CN=C1N23 1.783259 1.790958 -0.007699 0.009713
CN(C)C1=CN=C2N=CN=C3C=CC=C1N23 1.831585 1.900389 -0.068804 0.004218
CC1=CC2=NC=NC3=NC=NC(=C1)N23 2.139639 2.323927 -0.184288 0.001831
CC1=NC2=CC=CC3=NC=NC(=N1)N23 2.145542 2.312767 -0.167225 0.004194
CC1=CC=C2N=CN=C3N=CN=C1N23 2.075128 2.226717 -0.151589 0.002760
NC1=CC2=NC=NC3=NC=NC(=C1)N23 2.412610 2.609936 -0.197326 0.000829
NC1=NC2=CC=CC3=NC=NC(=N1)N23 2.450193 2.519815 -0.069622 0.021012
NC1=CC=C2N=CN=C3N=CN=C1N23 1.879117 1.895886 -0.016769 0.007341
CNC1=CC2=NC=NC3=NC=NC(=C1)N23 2.437035 2.625366 -0.188331 0.001351
CNC1=NC2=CC=CC3=NC=NC(=N1)N23 2.473372 2.535389 -0.062017 0.024018
CNC1=CC=C2N=CN=C3N=CN=C1N23 1.855854 1.900957 -0.045103 0.007737
C=CC1=CC2=NC=NC3=NC=NC(=C1)N23 2.040094 2.184819 -0.144725 0.005037
